Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
LC210603,Porcine kobuvirus,GenBank,set:LC210603,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8072,partial,,,1,Japan,Japan,,Sus scrofa,,1/8/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-6/JPN/2014"
LC210604,Porcine kobuvirus,GenBank,set:LC210604,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8112,partial,,,1,Japan,Japan,,Sus scrofa,,1/9/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu3-5/JPN/2014"
LC210605,Porcine kobuvirus,GenBank,set:LC210605,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8110,partial,,,1,Japan,Japan,,Sus scrofa,,1/10/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu4-2/JPN/2014"
LC210606,Porcine kobuvirus,GenBank,set:LC210606,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8107,partial,,,1,Japan,Japan,,Sus scrofa,,1/10/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu4-4/JPN/2014"
LC210607,Porcine kobuvirus,GenBank,set:LC210607,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8105,partial,,,1,Japan,Japan,,Sus scrofa,,1/10/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu4-6/JPN/2014"
LC210608,Porcine kobuvirus,GenBank,set:LC210608,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8201,partial,,,1,Japan,Japan,,Sus scrofa,,1/14/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu5-6/JPN/2014"
LC210609,Porcine kobuvirus,GenBank,set:LC210609,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8183,partial,,,1,Japan,Japan,,Sus scrofa,,1/23/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu6-6/JPN/2014"
LC210610,Porcine kobuvirus,GenBank,set:LC210610,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8208,partial,,,1,Japan,Japan,,Sus scrofa,,1/29/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu7-9/JPN/2014"
LC210611,Porcine kobuvirus,GenBank,set:LC210611,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8104,partial,,,1,Japan,Japan,,Sus scrofa,,2/6/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu9-10/JPN/2014"
LC210612,Porcine kobuvirus,GenBank,set:LC210612,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8108,partial,,,1,Japan,Japan,,Sus scrofa,,12/6/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Iba27-372/JPN/2015"
LC210613,Porcine kobuvirus,GenBank,set:LC210613,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8076,partial,,,1,Japan,Japan,,Sus scrofa,,1/20/16,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Iba444-2/JPN/2016"
LC210614,Porcine kobuvirus,GenBank,set:LC210614,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8111,partial,,,1,Japan,Japan,,Sus scrofa,,11/6/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Im5/JPN/2015"
LC210615,Porcine kobuvirus,GenBank,set:LC210615,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8119,partial,,,1,Japan,Japan,,Sus scrofa,,11/6/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Im6/JPN/2015"
LC210616,Porcine kobuvirus,GenBank,set:LC210616,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8192,partial,,,1,Japan,Japan,,Sus scrofa,,11/5/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Ka3/JPN/2015"
LC210617,Porcine kobuvirus,GenBank,set:LC210617,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8105,partial,,,1,Japan,Japan,,Sus scrofa,,11/4/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Sa5/JPN/2015"
LC210618,Porcine kobuvirus,GenBank,set:LC210618,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8106,partial,,,1,Japan,Japan,,Sus scrofa,,11/9/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Ta3/JPN/2015"
LC210619,Porcine kobuvirus,GenBank,set:LC210619,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8115,partial,,,1,Japan,Japan,,Sus scrofa,,11/9/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Ta4/JPN/2015"
LC210620,Porcine kobuvirus,GenBank,set:LC210620,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8122,partial,,,1,Japan,Japan,,Sus scrofa,,11/27/15,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Tochigi-IN30/JPN/2015"
LC210621,Porcine kobuvirus,GenBank,set:LC210621,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8114,complete,,,1,Japan,Japan,,Sus scrofa,,4/13/14,,,"Porcine kobuvirus genomic RNA, complete genome, strain: PoKoV/Tochigi-IO3/JPN/2014"
LC210622,Porcine kobuvirus,GenBank,set:LC210622,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,5/20/17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7965,partial,,,1,Japan,Japan,,Sus scrofa,,12/14/14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Buta16/JPN/2014"
KC414936,Porcine kobuvirus,GenBank,set:KC414936,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research, Institute",China,5/2/17,K-11/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate K-11/2012/CH, complete genome"
KY234499,Porcine kobuvirus,GenBank,set:KY234499,,"Zhai,S.L., Zhang,H., Lin,T., Chen,S.N., Zhou,X., Chen,Q.L., Lv,D.H., Wen,X.H., Zhou,X.R., Jia,C.L., Wei,W.K., Zhai,S.-L.","Animal Disease Diagnostic Center, Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,4/26/17,JXAT2015,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8123,complete,,,1,China: Jiangxi,China,,Sus scrofa,feces,2015,,,"Porcine kobuvirus isolate JXAT2015, complete genome"
KY234500,Porcine kobuvirus,GenBank,set:KY234500,,"Zhai,S.L., Zhang,H., Lin,T., Chen,S.N., Zhou,X., Chen,Q.L., Lv,D.H., Wen,X.H., Zhou,X.R., Jia,C.L., Wei,W.K., Zhai,S.-L.","Animal Disease Diagnostic Center, Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,4/26/17,JXJC2015,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8120,complete,,,1,China: Jiangxi,China,,Sus scrofa,feces,2015,,,"Porcine kobuvirus isolate JXJC2015, complete genome"
KT325852,Rabbit picornavirus,GenBank,set:KT325852,,"Pankovics,P., Boros,A., Biro,H., Horvath,K.B., Phan,T.G., Delwart,E., Reuter,G.","ANTSZ Baranya County Institute of State Public Health Service, Regional Laboratory of Virology",Hungary,11/23/15,,Aichivirus E,Kobuvirus,Picornaviridae,ssRNA(+),8364,complete,,,1,Hungary,Hungary,,Oryctolagus cuniculus,feces,2013-04,,,"Rabbit picornavirus strain Rabbit01/2013/HUN, complete genome"
KT003671,Bovine kobuvirus,GenBank,set:KT003671,,"Gregory,W.F., Dulwich,K., Mason,C., Beard,P.M., Sharp,C.P.","The Roslin Institute, University of Edinburgh, Infection and Immunity",,11/8/15,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8293,partial,,,,United Kingdom,United Kingdom,,Bos taurus,feces,2013,,,"Bovine kobuvirus polyprotein gene, complete cds"
NC_027918,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,RefSeq,GCF_001308635.1,,"Otomaru,K., Naoi,Y., Haga,K., Omatsu,T., Uto,T., Koizumi,M., Masuda,T., Yamasato,H., Takai,H., Aoki,H., Tsuchiaka,S., Sano,K., Okazaki,S., Katayama,Y., Oba,M., Furuya,T., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","National Center for Biotechnology Information, NIH",USA,10/7/15,,Kobuvirus dekago,Kobuvirus,Picornaviridae,ssRNA(+),8496,complete,,,1,Japan: Kagoshima,Japan,,Bos taurus,,2/2/15,,PRJNA485481,"Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN genomic RNA, complete genome, strain: Kagoshima-2-24-KoV/2015/JPN"
NC_027919,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,RefSeq,GCF_001308755.1,,"Otomaru,K., Naoi,Y., Haga,K., Omatsu,T., Uto,T., Koizumi,M., Masuda,T., Yamasato,H., Takai,H., Aoki,H., Tsuchiaka,S., Sano,K., Okazaki,S., Katayama,Y., Oba,M., Furuya,T., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","National Center for Biotechnology Information, NIH",USA,10/7/15,,Kobuvirus dekago,Kobuvirus,Picornaviridae,ssRNA(+),8087,complete,,,1,Japan: Kagoshima,Japan,,Bos taurus,,2014-11,,PRJNA485481,"Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN genomic RNA, nearly complete genome, strain: Kagoshima-1-22-KoV/2014/JPN"
LC055960,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,GenBank,set:LC055960,,"Otomaru,K., Naoi,Y., Haga,K., Omatsu,T., Uto,T., Koizumi,M., Masuda,T., Yamasato,H., Takai,H., Aoki,H., Tsuchiaka,S., Sano,K., Okazaki,S., Katayama,Y., Oba,M., Furuya,T., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Research and Education Center for Prevention of Global Infectious Disease of Animal; 3-5-8 Saiwai, Fuchu, Tokyo 183-8509",Japan,9/25/15,,Aichivirus D,Kobuvirus,Picornaviridae,ssRNA(+),8496,complete,,,1,Japan: Kagoshima,Japan,,Bos taurus,,2/2/15,,,"Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN genomic RNA, complete genome, strain: Kagoshima-2-24-KoV/2015/JPN"
LC055961,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,GenBank,set:LC055961,,"Otomaru,K., Naoi,Y., Haga,K., Omatsu,T., Uto,T., Koizumi,M., Masuda,T., Yamasato,H., Takai,H., Aoki,H., Tsuchiaka,S., Sano,K., Okazaki,S., Katayama,Y., Oba,M., Furuya,T., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Research and Education Center for Prevention of Global Infectious Disease of Animal; 3-5-8 Saiwai, Fuchu, Tokyo 183-8509",Japan,9/25/15,,Aichivirus D,Kobuvirus,Picornaviridae,ssRNA(+),8087,complete,,,1,Japan: Kagoshima,Japan,,Bos taurus,,2014-11,,,"Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN genomic RNA, nearly complete genome, strain: Kagoshima-1-22-KoV/2014/JPN"
KM051987,Porcine kobuvirus,GenBank,set:KM051987,,"Peng,Q., Song,D., Huang,D., Chen,Y., Huang,T., Zhang,T., Tang,Y.","Jiangxi Agricultural University, Department of Preventive Veterinary Medicine, College of Animal Science and Technology",,6/1/15,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8145,complete,,,,China,China,,Sus scrofa,,2014-03,,,"Porcine kobuvirus strain CH/KB-1/2014, complete genome"
NC_027054,Porcine kobuvirus,RefSeq,GCF_001008455.1,,"Jin,W., Yang,Z., Zhao,Z., Qin,A., Yang,H.","National Center for Biotechnology Information, NIH",USA,5/14/15,JS-02a-CHN/2014/China,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8121,complete,,,,China,China,,Sus scrofa,feces,2014,,PRJNA485481,"Porcine kobuvirus isolate JS-02a-CHN/2014/China, complete genome"
KP260507,Porcine kobuvirus,GenBank,set:KP260507,,"Jin,W., Yang,Z., Zhao,Z., Qin,A., Yang,H.","Yangzhou University, College of Veterinary Medicine",China,5/4/15,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8121,complete,,,,China,China,,Sus scrofa,feces,2014,,,"Porcine kobuvirus isolate JS-02a-CHN/2014/China, complete genome"
KJ641686,aichivirus F1,GenBank,set:KJ641686,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,3/31/15,BtMr-PicoV/JX2010,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7555,partial,,,1,China,China,,Myotis ricketti,,2010-10,,,"Bat kobuvirus 1 isolate BtMr-PicoV/JX2010 polyprotein gene, partial cds"
KJ641691,aichivirus F2,GenBank,set:KJ641691,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,3/31/15,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,Picornaviridae,ssRNA(+),7279,partial,,,1,China,China,,Miniopterus fuliginosus,,2012-12,,,"Aichivirus F2 isolate BtMf-PicoV-2/GD2012 polyprotein gene, partial cds"
KP144318,Porcine kobuvirus JS-01-CHN/2013/China,GenBank,set:KP144318,,"Jin,W., Yang,Z., Zhao,Z., Qin,A., Yang,H.","Yangzhou University, College of Veterinary Medicine",China,3/17/15,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8214,complete,,,,China,China,,Sus scrofa domesticus,feces,2013,,,"Porcine kobuvirus JS-01-CHN/2013/China, complete genome"
KM068048,Canine kobuvirus 1,GenBank,set:KM068048,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,3/3/15,DD2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,complete,,,1,Tanzania,Tanzania,,Canis lupus familiaris,feces,1/20/03,,,"Canine kobuvirus 1 isolate DD2 polyprotein mRNA, complete cds"
KM068049,Canine kobuvirus 1,GenBank,set:KM068049,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,3/3/15,82,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,complete,,,1,Tanzania,Tanzania,,Canis adustus,feces,11/20/10,,,"Canine kobuvirus 1 isolate 82 polyprotein mRNA, complete cds"
KM068050,Canine kobuvirus 1,GenBank,set:KM068050,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,3/3/15,75,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,complete,,,1,Tanzania,Tanzania,,Canis aureus,feces,1/13/11,,,"Canine kobuvirus 1 isolate 75 polyprotein mRNA, complete cds"
KM068051,Canine kobuvirus 1,GenBank,set:KM068051,,"Olarte-Castillo,X.A., Heeger,F., Mazzoni,C.J., Greenwood,A.D., Fyumagwa,R., Moehlman,P.D., Hofer,H., East,M.L., Mazzoni,C., Greenwood,A., Fyumagwa,R.D., East,M.","Leibniz Institute for Zoo and Wildlife Research, Evolutionary Ecology",Germany,3/3/15,B103,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8313,complete,,,1,Tanzania,Tanzania,,Crocuta crocuta,feces,3/2/10,,,"Canine kobuvirus 1 isolate B103 polyprotein mRNA, complete cds"
KM977675,Porcine kobuvirus,GenBank,set:KM977675,,"Liu,X., Oka,T., Wang,Q.","The Ohio State University, Food Animal Health Research Program, Department of Veterinary Preventive Medicine",USA,2/25/15,OH/RV50/2011,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8152,complete,,,1,USA,USA,,Sus scrofa,feces,2011-06,,,"Porcine kobuvirus isolate OH/RV50/2011, complete genome"
KM091960,Feline kobuvirus,GenBank,set:KM091960,,"Di Martino,B., Di Profio,F., Melegari,I., Marsilio,F., Martella,V.","University of Teramo, Scienze Biomediche Comparate",Italy,10/6/14,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8219,complete,,,1,Italy,Italy,,Felis catus,feces,2013-03,,,"Feline kobuvirus strain FeKoV/TE/52/IT/13, complete genome"
KJ958930,Feline kobuvirus,GenBank,set:KJ958930,,"Choi,J.W., Lee,M.H., Lee,K.K., Oem,J.K., Choi,J.-W., Lee,M.-H., Lee,K.-K., Oem,J.-K.","Animal Disease Diagnostic Division, Animal and Plant Quarantine Agency",,9/15/14,12D240,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8291,complete,,,1,South Korea,South Korea,,Feliformia,feces,2012,,,"Feline kobuvirus isolate 12D240, complete genome"
KJ934637,aichivirus A5,GenBank,set:KJ934637,,"Pankovics,P., Boros,A., Kiss,T., Reuter,G.","ANTSZ Baranya County Institute of State Public Health Sevice, Regional Laboratory of Virology",Hungary,8/26/14,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8251,complete,,,1,Hungary,Hungary,,Coracias garrulus,feces,2011-07,,,"Kobuvirus SZAL6-KoV/2011/HUN, complete genome"
